RANDOM_ID,GENDER,IN_STATE,UNMET_NEED_PERCENT,PELL,MAJOR,MAJOR_DESC,SCIENCE_CLASSES,LAB_CLASSES,RESIDENCE_HALL,ETHNICITY,CREDITS_EARNED,GPA_CREDITS,GPA
"1,951,711",M,Y,0,,ARCD,Architecture & Community Design,0,5,,International,27,27,3.08
"1,962,575",F,Y,0,,PSYC,Psychology,6,2,Phelan,International,128,124,3.54
"1,966,381",M,N,0,,MS,Media Studies,4,3,Gillson,White,54,34,3.96
"1,972,456",F,N,100,Y,UNLA,Undeclared Arts,0,0,Phelan,White,64,48,4
"1,979,143",M,Y,62,,NURS,Nursing,7,14,Phelan,Multi Race,137,113,3.07
"1,995,542",F,Y,0,,BADM,Business Administration,1,0,,Asian,90,60,3.93
"2,007,172",F,Y,100,Y,BADM,Business Administration,4,4,Phelan,Hispanic or Latino,128,125,3.25
"2,048,449",M,N,0,,SOC,Sociology,5,1,Gillson,International,128,126,2.85
"2,051,479",F,N,65,,COMS,Communication Studies,0,0,Hayes Healy,Multi Race,31.35,32,2.05
"2,052,226",F,Y,100,Y,BNTL,International Business,3,0,Hayes Healy,White,139,135,3.40
"2,068,312",F,Y,100,Y,BIOL,Biology,5,2,,Hispanic or Latino,28,36,1.41
"2,076,960",F,Y,100,Y,POLS,Politics,23,5,Gillson,Hispanic or Latino,130,125,3.07
"2,078,132",F,Y,0,,BADM,Business Administration,5,6,Gillson,International,128,128,3.86
"2,115,707",F,Y,0,,ECON,Economics,1,0,Gillson,Unknown,24,24,3.03
"2,119,074",F,N,0,,BADM,Business Administration,9,2,Hayes Healy,International,128,128,2.97
"2,143,530",M,Y,98,Y,ADVT,Advertising,3,1,Hayes Healy,Asian,58,58,3.07
"2,146,068",F,Y,95,,ANST,Asian Studies,4,1,,Asian,149,141,3.46
"2,154,699",M,N,0,,ECON,Economics,4,1,Hayes Healy,Hispanic or Latino,128,128,2.34
"2,163,027",F,Y,98,Y,NURS,Nursing,8,14,Phelan,Hispanic or Latino,142,120,3.09
"2,177,370",F,Y,100,Y,COMS,Communication Studies,0,0,Hayes Healy,White,16,16,3.68
"2,181,138",F,N,0,,BADM,Business Administration,5,1,Gillson,International,128,119,3.73
"2,185,242",M,Y,0,,BFIN,Finance,1,0,,International,29,29,3.80
"2,186,411",M,N,98,Y,CS,Computer Science,21,3,Gillson,Hispanic or Latino,129,128,2.41
"2,195,443",F,Y,91,,JNST,Japanese Studies,1,0,Lone Mountain,White,69,66,1.93
"2,197,082",M,N,95,Y,NURS,Nursing,11,4,Hayes Healy,White,46,30,2.73
"2,200,712",M,Y,0,,BNTL,International Business,6,1,Hayes Healy,Multi Race,153,141,3.17
"2,211,382",M,Y,0,,UNSC,Undeclared Sciences,11,3,Hayes Healy,International,149,153,2.85
"2,216,040",M,N,73,,BMKT,Marketing,9,1,Hayes Healy,Multi Race,128,131,3.08
"2,218,369",M,N,77,,BADM,Business Administration,3,1,Gillson,White,131,127,3.50
"2,218,734",M,Y,100,Y,ENGL,English,4,1,,Hispanic or Latino,133,129,3.90
"2,230,179",F,Y,0,,PSYC,Psychology,1,1,Gillson,White,128,124,3.33
"2,231,014",F,Y,0,,PSYC,Psychology,0,0,Hayes Healy,White,16,16,3
"2,231,083",F,Y,0,,BFIN,Finance,5,1,Lone Mountain,International,128,129,3.08
"2,244,682",M,Y,83,,UNLA,Undeclared Arts,5,4,Hayes Healy,White,128,128,3.76
"2,245,067",M,Y,78,,BIOL,Biology,13,6,Hayes Healy,Asian,131,126,3.25
"2,248,076",F,Y,0,,HM,Hospitality Management,5,1,Phelan,International,128,128,2.54
"2,249,576",F,Y,0,,ENGL,English,3,9,Fromm,White,130,124,3.88
"2,250,372",M,Y,0,,PSYC,Psychology,3,2,Hayes Healy,International,130,138,2.97
"2,255,755",M,Y,0,,ECON,Economics,20,3,Lone Village,International,132,136,3.32
"2,257,926",F,Y,56,,NURS,Nursing,2,1,Phelan,White,29,17,3.79
"2,259,651",M,Y,0,,UNBN,Undeclared Business,2,0,Gillson,White,139,111,3.76
"2,281,995",M,N,98,Y,ENVA,Environmental Studies,7,3,Hayes Healy,White,128,128,3.87
"2,283,545",F,Y,0,,BADM,Business Administration,5,6,Gillson,Hispanic or Latino,142,112,2.91
"2,288,515",F,Y,91,,SOC,Sociology,1,0,Phelan,Hispanic or Latino,128.03,122,3.45
"2,301,880",M,Y,0,,CS,Computer Science,4,0,Phelan,Hispanic or Latino,24,36,1.38
"2,310,963",M,Y,100,Y,PSYC,Psychology,0,0,Phelan,African American,16,16,3.68
"2,337,860",F,Y,100,Y,NURS,Nursing,8,8,Gillson,Asian,148,123,3.18
"2,377,465",F,Y,0,,BIOL,Biology,7,2,,Multi Race,129,123,3.61
"2,381,920",F,Y,59,,ESS,Exercise and Sport Science,3,2,Hayes Healy,Hispanic or Latino,135,127,3.63
"2,412,495",F,N,100,Y,SPAN,Spanish,3,1,Hayes Healy,Multi Race,66,66,3.08
"2,420,574",F,Y,0,,BADM,Business Administration,4,1,Gillson,International,129,129,3.67
"2,421,438",F,Y,99,Y,NURS,Nursing,10,19,Hayes Healy,Asian,140,113,3.63
"2,422,186",F,Y,0,,UNSC,Undeclared Sciences,7,2,Gillson,International,35,34,3.01
"2,426,678",F,Y,98,Y,UNLA,Undeclared Arts,4,2,,Multi Race,146,114,3.42
"2,429,349",F,Y,68,,BIOL,Biology,35,13,Hayes Healy,Hispanic or Latino,128,127,3.49
"2,435,785",F,N,47,,NURS,Nursing,7,15,Hayes Healy,White,132,93,3.79
"2,449,388",F,Y,0,,NURS,Nursing,7,14,Hayes Healy,White,149,110,3.75
"2,453,611",F,Y,0,,BADM,Business Administration,4,1,Fromm,Asian,133,121,3.80
"2,461,120",M,Y,0,,ANST,Asian Studies,3,1,Gillson,International,60,60,3.07
"2,477,118",F,Y,97,Y,UNLA,Undeclared Arts,4,2,Fromm,Hispanic or Latino,128,126,2.52
"2,481,992",F,Y,0,,BAIS,International Studies,1,0,Gillson,White,132,130,3.29
"2,486,988",M,Y,0,,BADM,Business Administration,3,1,Lone Mountain,International,140,140,2.96
"2,497,780",M,N,0,,BIOL,Biology,38,12,Pacific Wing,International,160,163,3.32
"2,510,071",M,Y,65,,ESS,Exercise and Sport Science,27,7,Gillson,Asian,128,132,3.55
"2,510,191",F,Y,0,,UNLA,Undeclared Arts,2,12,,White,138,114,3.64
"2,524,110",M,Y,100,Y,CHEM,Chemistry,11,5,Phelan,Hispanic or Latino,76,60,2.63
"2,537,995",F,N,48,,SOC,Sociology,18,1,Fromm,White,147,135,3.81
"2,541,412",F,Y,87,,DSGN,Design,4,5,,Asian,132,124,3.46
"2,550,556",F,Y,96,Y,ESS,Exercise and Sport Science,24,6,Fromm,Hispanic or Latino,128,120,3.36
"2,554,368",F,N,97,Y,NURS,Nursing,2,1,Hayes Healy,White,13,13,3.17
"2,564,871",M,Y,100,Y,HM,Hospitality Management,3,2,Lone Mountain,Asian,132,124,3.40
"2,566,254",M,Y,0,,BADM,Business Administration,1,1,Gillson,International,0,15,0
"2,577,505",F,Y,93,Y,ESS,Exercise and Sport Science,33,10,Phelan,Hispanic or Latino,144,128,3.61
"2,579,704",M,N,95,Y,ECON,Economics,7,1,Lone Mountain,Multi Race,144,129,3.73
"2,584,671",F,Y,100,Y,BADM,Business Administration,5,1,Hayes Healy,Asian,135,135,3.35
"2,602,257",M,N,0,,BAIS,International Studies,8,1,Phelan,Asian,128,128,3.00
"2,605,413",F,Y,62,,COMS,Communication Studies,7,2,Hayes Healy,Multi Race,128,128,3.87
"2,607,787",F,Y,0,,BAIS,International Studies,4,5,Hayes Healy,Asian,130,124,2.66
"2,612,868",F,Y,79,,BNTL,International Business,3,1,Hayes Healy,White,153,123,3.77
"2,614,153",M,N,0,,BADM,Business Administration,2,0,Hayes Healy,International,38,42,2.41
"2,617,257",M,Y,7,,NURS,Nursing,7,14,Gillson,Asian,133,106,3.24
"2,623,844",F,Y,98,Y,CS,Computer Science,13,1,Hayes Healy,Hispanic or Latino,128,120,3.76
"2,626,369",M,N,0,,HM,Hospitality Management,3,1,Gillson,International,136,128,3.47
"2,626,716",F,Y,0,,SOC,Sociology,1,0,Hayes Healy,White,42,42,3.20
"2,629,726",F,Y,100,Y,UNLA,Undeclared Arts,3,6,Hayes Healy,White,167,139,3.31
"2,631,139",M,N,100,Y,PASJ,Perf. Arts & Soc. Justice,3,6,Hayes Healy,African American,128.50,132,2.72
"2,637,328",F,Y,0,,UNLA,Undeclared Arts,5,3,Phelan,International,130,126,3.87
"2,642,991",F,Y,89,,BSDS,Data Science,10,0,Gillson,White,92,60,2.89
"2,643,394",M,Y,0,,POLS,Politics,2,0,,International,107,137,1.77
"2,646,219",F,Y,83,,DSGN,Design,0,2,Phelan,Multi Race,61,61,3.37
"2,646,346",F,Y,0,,UNLA,Undeclared Arts,1,0,Gillson,Hispanic or Latino,9,9,1.64
"2,656,251",M,N,100,,BFIN,Finance,2,0,Phelan,African American,28,28,3.27
"2,663,235",F,Y,84,,UNLA,Undeclared Arts,4,1,Hayes Healy,African American,128,117,2.97
"2,663,598",F,Y,0,,FNAR,Fine Arts,1,2,Fromm,Asian,68,48,3.48
"2,665,236",F,Y,0,,COMS,Communication Studies,3,3,Phelan,White,128,110,3.40
"2,670,712",M,Y,99,Y,BNTL,International Business,3,1,Phelan,Multi Race,128,128,3.23
"2,674,336",M,Y,94,Y,BFIN,Finance,2,0,Phelan,White,30,29,3.70
"2,675,331",M,Y,0,,ECON,Economics,4,1,Hayes Healy,White,131,119,3.52
"2,675,721",F,Y,19,,NURS,Nursing,19,14,Phelan,Hispanic or Latino,145,118,3.48
"2,676,142",F,Y,98,Y,SOC,Sociology,4,1,Phelan,Hispanic or Latino,149,137,3.81
"2,684,357",M,Y,50,,UNLA,Undeclared Arts,2,3,Gillson,White,132,120,3.47
"2,691,610",M,Y,99,Y,PSYC,Psychology,7,5,Hayes Healy,White,128,128,3.53
"2,703,824",F,N,48,,PSYC,Psychology,5,2,Gillson,Multi Race,128,132,3.37
"2,704,197",F,Y,97,Y,NURS,Nursing,8,14,Hayes Healy,Pacific Islander,124,99,3.27
"2,705,532",M,N,9,,DSGN,Design,18,6,Hayes Healy,White,128,120,3.15
"2,706,896",M,Y,82,,SOC,Sociology,20,8,,Asian,145,132,3.07
"2,719,248",F,N,96,Y,UNSC,Undeclared Sciences,6,2,Gillson,Multi Race,129,125,3.37
"2,723,718",F,N,0,,PSYC,Psychology,6,3,Fromm,African American,128,132,3.14
"2,725,867",F,Y,79,,BIOL,Biology,8,1,Phelan,Hispanic or Latino,128,128,3.45
"2,742,658",F,Y,0,,ECON,Economics,6,9,Lone Mountain,International,142,146,2.47
"2,748,515",F,Y,100,,ENVA,Environmental Studies,5,8,Gillson,Multi Race,150,122,3.85
"2,756,012",M,N,0,,BADM,Business Administration,5,1,Hayes Healy,Hispanic or Latino,62,72,2.37
"2,758,145",F,Y,0,,ENVA,Environmental Studies,6,3,Hayes Healy,Multi Race,78,74,2.80
"2,759,301",F,Y,64,,ESS,Exercise and Sport Science,33,9,Hayes Healy,Asian,132,128,3.39
"2,762,200",M,N,69,,PHIL,Philosophy,1,0,Phelan,White,33,33,3.14
"2,775,392",M,Y,100,Y,UNBN,Undeclared Business,3,1,Lone Mountain,Hispanic or Latino,128,116,3.73
"2,778,982",F,Y,92,Y,BADM,Business Administration,5,1,Hayes Healy,Asian,140,136,3.79
"2,779,412",F,Y,0,,PASJ,Perf. Arts & Soc. Justice,3,2,Fromm,International,137,137,3.69
"2,789,666",F,N,94,Y,CS,Computer Science,25,2,Gillson,Asian,129,129,3.51
"2,793,813",F,Y,0,,BIOL,Biology,35,13,Phelan,Unknown,167,138,3.77
"2,813,567",F,Y,0,,UNBN,Undeclared Business,1,0,Hayes Healy,White,47,47,2.98
"2,833,978",F,Y,0,,NURS,Nursing,8,14,Phelan,White,134,110,3.70
"2,839,752",M,N,80,,POLS,Politics,3,1,Phelan,Asian,129,129,3.21
"2,843,398",M,N,99,Y,SOC,Sociology,3,1,Hayes Healy,Multi Race,136,106,3.95
"2,843,780",F,N,52,,HIST,History,1,0,Hayes Healy,White,25,17,3.93
"2,847,208",M,Y,0,,BMKT,Marketing,8,1,Hayes Healy,Asian,132.04,116,2.72
"2,847,555",F,Y,0,,HIST,History,1,0,Gillson,White,134,120,3.10
"2,858,011",F,Y,28,,UNLA,Undeclared Arts,0,0,Gillson,White,40,32,3.16
"2,863,647",M,Y,67,,BIOL,Biology,29,12,Phelan,Multi Race,124,128,2.46
"2,866,869",M,Y,82,,UNSC,Undeclared Sciences,9,1,Phelan,Asian,63,63,3.94
"2,869,304",F,N,69,,NURS,Nursing,10,14,Phelan,Multi Race,130,110,3.54
"2,875,831",F,Y,38,,PSYC,Psychology,12,3,Hayes Healy,African American,131,131,2.93
"2,882,169",M,Y,0,,UNSC,Undeclared Sciences,1,0,Hayes Healy,International,12,16,1.35
"2,890,646",F,N,0,,UNLA,Undeclared Arts,0,0,Gillson,White,32,32,3.64
"2,893,510",M,Y,15,,DSGN,Design,3,3,Hayes Healy,Hispanic or Latino,128,128,3.45
"2,898,931",F,Y,100,Y,HIST,History,6,6,Gillson,African American,128,132,2.85
"2,899,483",M,Y,22,,BIOL,Biology,8,4,,Asian,52,28,3.39
"2,905,798",F,Y,100,Y,HIST,History,6,2,Hayes Healy,Hispanic or Latino,128,128,3.71
"2,906,399",F,Y,87,,BIOL,Biology,4,3,Fromm,Asian,128,136,2.95
"2,910,743",M,N,0,,BADM,Business Administration,6,1,Phelan,White,128,135,2.93
"2,916,723",F,N,0,,UNSC,Undeclared Sciences,16,23,Hayes Healy,Asian,140,148,2.88
"2,931,313",F,Y,0,,BFIN,Finance,3,3,Fromm,International,129,129,3.64
"2,944,690",F,Y,8,,BACT,Accounting,7,1,Hayes Healy,Asian,142,133,2.96
"2,948,456",F,N,0,,UNLA,Undeclared Arts,5,1,Gillson,White,128,120,3.68
"2,951,118",F,Y,0,,BADM,Business Administration,3,1,Gillson,International,151,145,3.55
"2,958,313",M,N,0,,HIST,History,5,1,Phelan,White,142,142,3.51
"2,967,512",M,Y,0,,NURS,Nursing,8,2,Hayes Healy,Pacific Islander,128,128,2.84
"2,971,292",F,Y,97,Y,PSYC,Psychology,1,0,Hayes Healy,White,32,32,3.59
"2,973,479",F,Y,28,,HIST,History,0,0,Hayes Healy,White,36,12,3.77
"2,977,660",F,Y,0,,BIOL,Biology,35,13,Phelan,Asian,128,122,3.82
"2,992,685",F,Y,95,Y,PSYC,Psychology,3,3,Phelan,Hispanic or Latino,129,133,3.29
"2,993,057",F,Y,0,,BACT,Accounting,6,2,Lone Mountain,International,139,131,3.88
"2,998,801",F,Y,100,Y,PSYC,Psychology,0,0,Hayes Healy,African American,47,57,1.97
"3,001,158",F,N,0,,ARCD,Architecture & Community Design,3,8,Phelan,White,136,136,3.54
"3,002,144",F,Y,68,,COMS,Communication Studies,3,1,Fromm,White,141,125,3.80
"3,002,357",F,Y,100,Y,POLS,Politics,2,1,Fromm,White,145,132,3.77
"3,003,844",F,Y,50,,BIOL,Biology,36,12,,Asian,128,131,3.46
"3,011,932",F,Y,0,,BADM,Business Administration,3,1,Gillson,International,133,113,3.23
"3,017,632",F,Y,0,,PSYC,Psychology,4,1,Hayes Healy,White,141,139,3.29
"3,019,587",M,N,0,,BAIS,International Studies,1,1,Gillson,White,70,68,2.60
"3,023,123",M,N,94,Y,BIOL,Biology,4,2,Hayes Healy,Pacific Islander,128,128,3.61
"3,028,888",F,Y,0,,BADM,Business Administration,4,1,Phelan,International,128,131,2.49
"3,033,933",M,Y,91,,BIOL,Biology,17,7,,Multi Race,142,136,3.43
"3,038,549",F,Y,88,,BIOL,Biology,34,13,Hayes Healy,Hispanic or Latino,130,129,3.06
"3,040,624",F,Y,28,,BIOL,Biology,33,12,Hayes Healy,White,128,112,3.35
"3,041,962",F,N,0,,COMS,Communication Studies,2,2,Fromm,White,132,106,3.89
"3,046,116",F,Y,0,,BIOL,Biology,11,3,Phelan,White,77,63,3.72
"3,046,311",M,N,59,,PSYC,Psychology,10,3,Hayes Healy,Asian,128,124,3.08
"3,052,328",M,Y,0,,CS,Computer Science,27,1,Gillson,International,156,154,2.64
"3,053,883",F,Y,18,,ENVS,Environmental Science,8,4,Gillson,Hispanic or Latino,32,32,2.85
"3,054,022",F,Y,86,,PSYC,Psychology,9,3,Gillson,Asian,128,128,3.17
"3,054,146",F,Y,90,,PSYC,Psychology,6,2,Hayes Healy,Hispanic or Latino,128.35,124,3.01
"3,062,695",F,Y,0,,BIOL,Biology,1,0,Fromm,White,10,10,3.40
"3,063,149",F,N,86,,POLS,Politics,4,4,Hayes Healy,Asian,141,131,3.50
"3,083,913",F,N,85,,POLS,Politics,6,1,Phelan,Multi Race,128,124,3.83
"3,098,580",F,Y,32,,NURS,Nursing,6,14,Fromm,Asian,129,102,3.54
"3,102,584",M,Y,6,,ESS,Exercise and Sport Science,7,1,Gillson,Hispanic or Latino,128.36,123,2.42
"3,103,617",M,Y,0,,BMKT,Marketing,9,1,Hayes Healy,Hispanic or Latino,130,129,2.95
"3,105,347",F,Y,0,,UNBN,Undeclared Business,3,0,Fromm,International,128,120,3.93
"3,110,182",F,Y,47,,COMS,Communication Studies,,,,White,27,0,0
"3,120,373",F,Y,0,,POLS,Politics,3,1,Hayes Healy,White,130,120,3.70
"3,127,210",M,Y,0,,CS,Computer Science,18,1,Hayes Healy,White,160,112,3.02
"3,128,637",F,Y,99,Y,BIOL,Biology,33,13,,Asian,139,128,3.88
"3,128,951",F,Y,0,,UNBN,Undeclared Business,7,2,Fromm,International,145,148,3.28
"3,134,779",F,N,0,,BAIS,International Studies,2,1,,White,131,108,4
"3,136,674",F,Y,86,,BADM,Business Administration,3,1,Hayes Healy,Multi Race,129,123,3.50
"3,137,451",M,Y,0,,CS,Computer Science,2,0,,White,16,16,3.75
"3,154,673",M,Y,100,Y,CS,Computer Science,3,0,Hayes Healy,Hispanic or Latino,32,28,1.76
"3,159,069",F,Y,100,Y,BADM,Business Administration,3,2,Hayes Healy,White,129,132,3.54
"3,161,323",F,N,0,,UNSC,Undeclared Sciences,21,9,Fromm,White,133,135,3.34
"3,163,513",M,Y,73,,ECON,Economics,20,4,Hayes Healy,Hispanic or Latino,176,120,3.29
"3,169,662",M,Y,94,Y,CS,Computer Science,22,8,,Asian,139,139,3.82
"3,171,379",F,N,0,,UNSC,Undeclared Sciences,3,1,Lone Mountain,International,157,145,3.19
"3,171,900",F,Y,69,,BIOL,Biology,8,6,Hayes Healy,Unknown,128,131,2.92
"3,185,129",M,N,75,,CHEM,Chemistry,29,9,Phelan,Asian,137,124,2.96
"3,189,679",F,Y,63,,BMKT,Marketing,6,1,Gillson,Asian,128,128,3.72
"3,191,670",M,Y,0,,ADVT,Advertising,6,2,Hayes Healy,Multi Race,128,132,3.26
"3,207,296",F,N,0,,UNLA,Undeclared Arts,1,0,Fromm,White,36,32,2.80
"3,211,067",M,N,87,,UNBN,Undeclared Business,5,2,Hayes Healy,Hispanic or Latino,128,125,2.99
"3,223,012",M,N,0,,UNBN,Undeclared Business,3,0,Phelan,White,49,47,2.68
"3,233,524",F,N,0,,ADVT,Advertising,2,2,Phelan,White,66,66,3.15
"3,242,631",F,N,0,,UNSC,Undeclared Sciences,18,7,Lone Village,International,77,77,3.76
"3,246,250",F,N,99,Y,BNTL,International Business,3,1,Gillson,Hispanic or Latino,145,112,3.47
"3,251,895",M,Y,56,,BIOL,Biology,33,14,Phelan,Asian,129,125,3.65
"3,256,040",M,Y,0,,UNLA,Undeclared Arts,7,1,Gillson,International,128,116,3.20
"3,257,124",F,Y,61,,NURS,Nursing,10,15,Hayes Healy,Asian,136,105,3.91
"3,264,411",M,Y,100,Y,BIOL,Biology,33,11,,Asian,131,132,2.70
"3,264,493",F,Y,0,,BIOL,Biology,33,12,Gillson,International,155,139,3.51
"3,276,704",M,Y,69,,BIOL,Biology,30,10,Phelan,White,134,134,3.75
"3,280,641",F,N,0,,BIOL,Biology,31,12,,Asian,137,106,3.06
"3,292,231",M,Y,79,,COMS,Communication Studies,2,1,Hayes Healy,Hispanic or Latino,64,60,3.78
"3,292,272",F,Y,0,,ADVT,Advertising,5,1,Phelan,Hispanic or Latino,128,132,2.88
"3,297,242",F,N,0,,BAIS,International Studies,4,1,Hayes Healy,White,136,134,3.81
"3,305,152",F,Y,0,,BFIN,Finance,13,2,,Asian,140,120,3.97
"3,308,612",F,Y,100,Y,ARCD,Architecture & Community Design,2,5,Phelan,Hispanic or Latino,129,121,3.28
"3,309,183",F,Y,0,,BMKT,Marketing,3,3,Fromm,International,128,128,2.90
"3,310,105",F,N,23,,ENVA,Environmental Studies,2,1,Phelan,White,54,18,3.54
"3,325,195",F,N,0,,BNTL,International Business,0,1,Fromm,International,24,28,2.66
"3,326,877",F,N,92,Y,PSYC,Psychology,5,4,Hayes Healy,White,128,108,3.64
"3,336,536",F,Y,0,,BIOL,Biology,15,6,Gillson,Asian,129,136,3.27
"3,355,387",F,Y,100,Y,FNAR,Fine Arts,3,6,Fromm,White,60,60,2.66
"3,392,217",F,N,100,Y,PASJ,Perf. Arts & Soc. Justice,3,10,Hayes Healy,Native American,120,140,3.07
"3,392,374",F,Y,47,,NURS,Nursing,9,14,,Asian,164,110,3.91
"3,423,020",F,N,0,,BACT,Accounting,3,2,Gillson,International,137,127,3.64
"3,428,943",F,Y,99,Y,NURS,Nursing,7,14,Hayes Healy,Hispanic or Latino,147,107,3.88
"3,433,656",F,Y,64,,ENGL,English,3,1,Phelan,Multi Race,129,129,3.68
"3,433,946",F,Y,0,,HM,Hospitality Management,3,1,Phelan,International,136,136,3.28
"3,454,124",F,Y,76,,NURS,Nursing,6,15,Fromm,Asian,138,101,3.04
"3,455,843",M,Y,0,,BADM,Business Administration,3,6,Gillson,Asian,140,124,3.10
"3,456,267",F,Y,0,,HM,Hospitality Management,0,0,Gillson,White,8,16,1.50
"3,471,930",F,Y,0,,COMS,Communication Studies,2,0,Phelan,International,154,124,3.77
"3,479,587",F,Y,100,Y,UNBN,Undeclared Business,1,0,Phelan,White,37,29,3.39
"3,484,036",M,Y,0,,UNBN,Undeclared Business,1,0,Hayes Healy,Hispanic or Latino,30,30,3.08
"3,490,977",M,Y,0,,HIST,History,1,0,Lone Mountain,Asian,146,134,3.41
"3,496,040",M,Y,0,,CS,Computer Science,20,3,,Asian,128,120,3.93
"3,498,684",F,N,0,,BADM,Business Administration,5,3,,International,128,132,2.64
"3,501,521",M,Y,99,Y,PSYC,Psychology,3,2,Gillson,Hispanic or Latino,140,140,3.56
"3,521,314",F,Y,64,,NURS,Nursing,7,14,Phelan,White,158,99,3.82
"3,537,265",M,N,0,,ENGL,English,3,1,Gillson,Unknown,133,129,3.95
"3,547,768",F,Y,38,,UNSC,Undeclared Sciences,5,2,Gillson,White,131,110,3.76
"3,548,547",F,Y,97,Y,NURS,Nursing,6,14,Hayes Healy,Pacific Islander,153,99,3.82
"3,552,505",F,Y,0,,UNBN,Undeclared Business,5,1,Fromm,International,149,149,3.21
"3,576,128",M,Y,0,,BADM,Business Administration,3,0,Gillson,White,128,113,3.77
"3,577,230",F,Y,36,,UNSC,Undeclared Sciences,5,1,Fromm,Hispanic or Latino,128,128,3.04
"3,582,253",M,Y,77,,BAIS,International Studies,4,3,Hayes Healy,Hispanic or Latino,149,137,3.24
"3,605,909",F,N,100,Y,PHIL,Philosophy,5,2,Hayes Healy,African American,128,124,3.23
"3,622,962",M,Y,83,,BADM,Business Administration,4,1,,Asian,63,63,2.65
"3,629,486",M,Y,100,Y,UNSC,Undeclared Sciences,13,5,Hayes Healy,Hispanic or Latino,129,130,3.06
"3,645,813",F,Y,93,,PSYC,Psychology,5,2,Gillson,Hispanic or Latino,120,134,2.63
"3,650,263",M,Y,82,,UNSC,Undeclared Sciences,29,11,Gillson,African American,97,122,2.18
"3,650,665",M,Y,0,,BADM,Business Administration,4,3,Gillson,International,139,139,3.49
"3,653,390",F,N,100,Y,BIOL,Biology,29,11,Hayes Healy,Asian,130,118,3.12
"3,656,799",F,N,0,,BAIS,International Studies,1,0,Gillson,White,128,108,3.90
"3,657,056",F,N,0,,BIOL,Biology,33,11,Hayes Healy,Hispanic or Latino,128,126,3.47
"3,672,187",F,N,100,Y,BADM,Business Administration,3,1,Gillson,Multi Race,128,125,3.70
"3,679,269",F,N,0,,ARCD,Architecture & Community Design,4,9,Hayes Healy,International,128,156,2.96
"3,680,638",M,N,86,,PHYS,Physics,10,2,Gillson,White,49,49,3.45
"3,689,857",F,Y,73,,PSYC,Psychology,0,0,Gillson,White,51,35,3.92
"3,690,453",M,Y,0,,BADM,Business Administration,10,1,,Asian,128,133,2.84
"3,710,758",F,N,100,Y,ESS,Exercise and Sport Science,25,5,,White,128,119,3.92
"3,719,270",M,Y,0,,ARCD,Architecture & Community Design,3,11,Gillson,White,129,129,3.10
"3,720,065",F,Y,16,,NURS,Nursing,7,14,Fromm,Asian,131.68,100,3.50
"3,720,466",M,Y,0,,BENI,Entrepreneurship & Innovation,4,3,Gillson,International,128,128,3.06
"3,734,536",M,Y,0,,BIOL,Biology,32,13,Gillson,Asian,150,130,3.92
"3,761,027",M,Y,80,,BADM,Business Administration,7,1,Phelan,Asian,131,131,2.95
"3,794,672",M,N,0,,COMS,Communication Studies,3,1,Gillson,White,128,124,2.87
"3,810,624",M,Y,75,,SPAN,Spanish,7,2,Hayes Healy,Hispanic or Latino,58,58,3.71
"3,813,297",F,Y,17,,BIOL,Biology,8,8,Phelan,Asian,135,115,3.66
"3,823,220",F,Y,6,,CMPL,Comparative Lit. & Culture,0,0,Phelan,Hispanic or Latino,74,50,3.86
"3,832,988",F,Y,0,,BACT,Accounting,3,1,Gillson,International,129,133,2.72
"3,836,115",F,Y,95,Y,PSYC,Psychology,1,0,Fromm,Hispanic or Latino,138,122,3.73
"3,837,742",M,N,91,,BNTL,International Business,1,0,Gillson,Hispanic or Latino,60,60,2.61
"3,838,717",F,N,76,,BAIS,International Studies,3,1,Fromm,Multi Race,133,129,3.52
"3,845,128",F,Y,100,Y,UNLA,Undeclared Arts,3,1,Phelan,Hispanic or Latino,131,131,3.70
"3,847,890",F,Y,0,,CS,Computer Science,3,0,Hayes Healy,Asian,60,60,3.72
"3,856,513",F,N,98,Y,ENGL,English,1,2,Phelan,White,88,88,3.23
"3,859,839",M,Y,100,Y,BIOL,Biology,12,6,Hayes Healy,Hispanic or Latino,154,122,2.14
"3,860,623",F,Y,0,,BOBL,Organizational Behav.& Ldrship,6,1,Phelan,International,138,136,3.51
"3,897,061",M,Y,0,,COMS,Communication Studies,4,0,Lone Mountain,White,144,110,3.10
"3,916,315",F,N,100,Y,BAIS,International Studies,6,2,Gillson,Asian,128,128,3.13
"3,929,683",F,Y,0,,NURS,Nursing,7,15,Gillson,Asian,145,98,3.77
"3,943,259",M,Y,77,,BADM,Business Administration,8,1,,Asian,128,128,3.06
"3,949,319",M,Y,0,,BFIN,Finance,7,1,Phelan,International,142,142,3.81
"3,975,572",F,Y,100,Y,PSYC,Psychology,3,2,,Asian,140,124,3.86
"3,995,418",F,Y,96,Y,BNTL,International Business,4,1,,Asian,135,127,3.56
"4,005,420",M,Y,0,,BADM,Business Administration,4,1,Hayes Healy,White,131,131,3.30
"4,008,816",M,Y,0,,BIOL,Biology,16,6,Phelan,Asian,148,140,3.23
"4,009,533",F,N,95,Y,BAIS,International Studies,3,1,Fromm,White,142,108,3.93
"4,018,767",F,Y,96,Y,BIOL,Biology,30,10,Phelan,Asian,130,125,3.18
"4,025,353",F,Y,77,,ECON,Economics,6,1,Hayes Healy,White,128,128,3.28
